Pertanyaan,Jawaban,Label
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman bekerja sebagai barista selama 2 tahun di Coffee House XYZ.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri perhotelan sebagai barista di sebuah kafe terkenal.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya tidak pernah bekerja sebagai barista sebelumnya.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Pengalaman kerja saya sebelumnya lebih fokus pada bidang pemasaran.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,"Selama 6 bulan terakhir, saya bekerja di kafe kecil di pusat kota sebagai barista.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya telah bekerja di beberapa kafe di kota ini dan mendapatkan pengalaman berharga.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki latar belakang sebagai barista di kafe kampus selama studi saya.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelum menjadi barista, saya pernah bekerja di industri ritel sebagai kasir.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Pengalaman kerja saya sebelumnya tidak terkait dengan dunia kopi.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kedai kopi terkenal di luar negeri.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja sebagai barista di kafe terkenal di pusat perbelanjaan.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kafe eksklusif selama 2 tahun.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri perhotelan tetapi bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Pengalaman kerja saya sebelumnya lebih fokus pada manajemen acara.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,"Selama 1 tahun terakhir, saya menjadi barista di kafe komunitas di daerah saya.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di beberapa kafe kecil sebagai barista part-time.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki latar belakang sebagai barista di kafe seni lokal.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelum menjadi barista, saya pernah bekerja di industri jasa kebersihan.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Pengalaman kerja saya sebelumnya tidak terkait dengan sektor makanan dan minuman.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kedai kopi terkenal di kota ini.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri mode sebagai asisten penjualan, bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja selama 4 tahun di industri kopi sebagai barista.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di restoran cepat saji sebagai koki, bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya tidak memiliki pengalaman bekerja sebelumnya di bidang apapun.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di kafe yang berbeda, tetapi di posisi yang sama.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki latar belakang sebagai barista di beberapa kafe di kota ini.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja sebagai asisten barista di sebuah kafe terkenal.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman bekerja sebagai barista di kafe pesisir selama 3 tahun.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri keuangan dan ini adalah pengalaman barista pertama saya.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kafe tema retro.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja sebagai barista di kedai kopi khusus untuk kopi organik.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kafe boutique selama 2 tahun.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri pariwisata, bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Pengalaman kerja saya sebelumnya lebih fokus pada manajemen acara korporat.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,"Selama 1 tahun terakhir, saya menjadi barista di kafe yang fokus pada kopi single origin.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di beberapa kafe sebagai asisten manajer, bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki latar belakang sebagai barista di kafe komunitas yang berbasis di pusat seni.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelum menjadi barista, saya pernah bekerja di industri pemasaran.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Pengalaman kerja saya sebelumnya tidak terkait dengan sektor makanan dan minuman.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kedai kopi terkenal di kawasan perumahan.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri teknologi sebagai spesialis dukungan pelanggan, bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja selama 4 tahun di industri kopi sebagai barista.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di restoran fine dining sebagai pelayan, bukan sebagai barista.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya tidak memiliki pengalaman bekerja sebelumnya di bidang apapun.,Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di kafe yang berfokus pada kopi eksotis, tetapi di posisi yang berbeda.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki latar belakang sebagai barista di beberapa kafe di kota ini.,Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja sebagai asisten barista di sebuah kafe independen.",Benar
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman bekerja sebagai barista di kafe dengan konsep vintage.,Benar
